#,reg_cik,reg_name,reg_lei,series_id,series_name,series_lei,period,as_of_date,form,security_type,security_class,payoff,name,lei,issuer,isin,cusip,sedol,valor,ticker,quantity,valuation,valuation_currency,allocation,file,line
0,1497637,Accuvest Global Advisors,nan,nan,nan,nan,2017-12-31,2018-01-30,13F-HR,shares,COM,Long,Blackrock Core Bond Trust,nan,09249e,nan,9.249E+104,nan,nan,nan,24065.0,338.0,USD,nan,1497637/13F-HR/0001497637-18-000001.txt,110
1,1497637,Accuvest Global Advisors,nan,nan,nan,nan,2017-12-31,2018-01-30,13F-HR,shares,COM,Long,Eaton Vance Ltd Duration Incom,nan,27828h,nan,27828h105,nan,nan,nan,14000.0,191.0,USD,nan,1497637/13F-HR/0001497637-18-000001.txt,126
2,1497637,Accuvest Global Advisors,nan,nan,nan,nan,2017-12-31,2018-01-30,13F-HR,shares,COM,Long,FIRST TRUST SENIOR FLOATING,nan,33733U,nan,33733U108,nan,nan,nan,68251.0,880.0,USD,nan,1497637/13F-HR/0001497637-18-000001.txt,142
3,1497637,Accuvest Global Advisors,nan,nan,nan,nan,2017-12-31,2018-01-30,13F-HR,shares,COM,Long,High Yield L/S ETF - First Tru,nan,33738d,nan,33738d408,nan,nan,nan,17050.0,828.0,USD,nan,1497637/13F-HR/0001497637-18-000001.txt,158
4,1497637,Accuvest Global Advisors,nan,nan,nan,nan,2017-12-31,2018-01-30,13F-HR,shares,COM,Long,INVESCO MUNICIPAL TRUST,nan,46131J,nan,46131J103,nan,nan,nan,30900.0,386.0,USD,nan,1497637/13F-HR/0001497637-18-000001.txt,174
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"65,442,764",1730962,"ODonnell Financial Services, LLC",nan,nan,nan,nan,2021-09-30,2021-10-29,13F-HR,shares,COM,Long,TESLA INC,nan,88160R,nan,88160R101,nan,nan,nan,600.0,465.0,USD,nan,1730962/13F-HR/0001085146-21-002940.txt,815
"65,442,765",1730962,"ODonnell Financial Services, LLC",nan,nan,nan,nan,2021-09-30,2021-10-29,13F-HR,shares,COM,Long,UNITEDHEALTH GROUP INC,nan,91324P,nan,91324P102,nan,nan,nan,1753.0,685.0,USD,nan,1730962/13F-HR/0001085146-21-002940.txt,831
"65,442,766",1730962,"ODonnell Financial Services, LLC",nan,nan,nan,nan,2021-09-30,2021-10-29,13F-HR,shares,TOTAL BND MRKT,Long,VANGUARD BD INDEX FDS,nan,921937,nan,921937835,nan,nan,nan,2406.0,206.0,USD,nan,1730962/13F-HR/0001085146-21-002940.txt,847
"65,442,767",1730962,"ODonnell Financial Services, LLC",nan,nan,nan,nan,2021-09-30,2021-10-29,13F-HR,shares,GROWTH ETF,Long,VANGUARD INDEX FDS,nan,922908,nan,922908736,nan,nan,nan,695.0,202.0,USD,nan,1730962/13F-HR/0001085146-21-002940.txt,863
"65,442,768",1730962,"ODonnell Financial Services, LLC",nan,nan,nan,nan,2021-09-30,2021-10-29,13F-HR,shares,CL A,Long,ZOETIS INC,nan,98978V,nan,98978V103,nan,nan,nan,1947.0,378.0,USD,nan,1730962/13F-HR/0001085146-21-002940.txt,879
